mouth slightly open showing fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
lips parted in seductive smile, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
predatory gaze locking with victim, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
licking blood from own sharp claws, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
whispering dark promises, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
pressing sharp fangs against pulsing vein, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
blood stained lips after feeding, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
slow slide of tongue over sharp fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
dominating vampire expression, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
hand over mouth to silence victim, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
intense eye contact during feeding, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
seductive smirk showing sharp teeth, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
hungry look with bared teeth, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
dark mysterious gaze, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
cold pale complexion Features, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
sharp facial bone structure, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
dramatic winged eyeliner look, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
blood red stained lips, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
dark smudged eyeshadow Detail, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
sharp alluring gaze, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
gothic queen facial Expression, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
deep dark intensity, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
pale vampire lady Features, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
sharp vampire aesthetic, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
dark gothic Charisma, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
