sharp glistening vampire fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
bared sharp fangs looking hungry, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
wicked smile showing sharp fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
vampire fangs glinting in shadow, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
fierce gaze with sharp fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
realistic sharp vampire incisors, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
hungry expression baring sharp fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
menacing look with bared fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
seductive vampire mouth with fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
sharp teeth glinting in Darkness, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
detailed sharp vampire incisors, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
elegant vampire with pointed fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
dark look baring sharp fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
hungry vampire lady teeth, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
sharp fangs ready to bite, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
intense expression revealing fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
polished sharp vampire incisors, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
classic sharp vampire bite, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
sharp canine teeth visible, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
glistening vampire fangs in shadow, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
dangerous expression with pointed fangs, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
sharp vampire teeth slightly parted, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
bared fangs with predatory grin, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
detailed sharp vampire teeth, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k
sharp vampire fangs exposed, (parted lips:1.2), (mouth slightly open:1.1), highly detailed face, cinematic lighting, 8k

